index , followers , genres ,id,name, popularity
0,500404,,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,73
1,64144,,7jgZFR40bWjwOrRCOZFB02,TribalSeeds,59
2,323679,,5aYyPjAsLj7UzANzdupwnS,GoodCharlotte,69
3,66711,indie rock,3wyfo3svXNWnszGAEVey11,TokyoPoliceClub,56
4,19579,,4zymhxzJ0UJc74tMHGyoWs,Dirtyphonics,50
5,23064,,3yrQJxTTj7xS2deLcXiEM3,MurderByDeath,48
6,32852,,5VsOThWOagH8C8gCvIy13k,PenguinPrison,56
7,21946,noise pop,5lJ4XQ2hlPlxACN7q3xKL1,TitusAndronicus,47
8,42806,,23NIwARd4vPbxt3wwNnJ6k,ParquetCourts,62
9,160215,freak folk,4kwxTgCKMipBKhSnEstNKj,AnimalCollective,62
10,11371,,2Co0mXhhgm8bAISHfj1fje,Caveman,45
11,27110,classic garage rock,2g3PKH7Z1Ofn5oGR6oDjLy,TheSonics,48
12,396936,,50co4Is1HCEo8bhOyUWKpn,YoungThug,85
13,81349,indie rock,6nXSnNEdLuKTzAQozRtqiI,M.Ward,59
14,4343,,20DZAfCuP1TKZl5KcY7z3Q,SLANDER,44
15,4536,,462OdWtVKstcqagYhQOwFB,PuddlesPityParty,43
16,97535,indie,34vLhockmYhf3LgznwyNaQ,POLI‚A,58
17,16080,,0fWvSXbvztkeHEnEuYvU2A,BobMould,49
18,26576,,3OwOKwd5FsfOD5qlH2tnzs,ElephantRevival,52
